bk_no,bk_name,addr_kenno,addr_sino
50004,シルバーマンション鹿野,4,4104
40708,Forest青葉,4,4101
42902,ハイツグロー,4,4101
42301,アーバンハイツ福住Ⅰ,4,4102
52014,八木山グランドハイツ,4,4104
47143,ドエルいづみＢ,4,4104
45448,クレール,4,4103
44127,ラルーナⅡ,4,4101
48027,安田１,4,4105
93241,メゾンド歩坂A,4,4105
44233,ディアコートＡ,4,4406
11078,水の森３丁目Ｓ戸建,4,4101
93342,カーサ・フォレスタ　ソオラ,4,4101
47453,ブンガワン・ソロⅠ,4,4101
48774,サンビレッジ国見ケ丘Ｅ,4,4101
92030,八木山ハイツ,4,4104
775,クレールヒルズ,4,4104
47605,ルミエールコートB,4,4104
900650,×××アラマキフレンド,4,4101
47671,トワ　ヴェールＢ,4,4404
44138,成田７丁目貸家,4,4216
734,レジデンス市名坂,4,4105
91048,ナイスプレジデントスクエア北四番丁,4,4101
49071,ロイヤルヒルズ幸町Ⅱ,4,4102
47676,ハイツ青山,4,4104
46255,セジュール大手町Ａ,4,4207
42863,ロイヤルハイツ市名坂Ⅲ,4,4105
12140,朝日プラザシティ広瀬の杜５番館,4,4101
41043,コンフォード３,4,4105
47169,α-サンライズ,4,4104
46040,カミエール東照宮,4,4101
11011,南光台２丁目Ｏ戸建,4,4105
91063,アーバナイト子平町,4,4101
922075,×××ネオプラザ北仙台,4,4101
48108,ベルツリー,4,4202
694,ホワイトキャッスル台原,4,4101
990359,バーシティハウス碧,4,4101
40614,グランドールＢ,4,4105
44433,トパーティオ　Ｓ,4,4101
47148,フレグランス鈎取Ｂ,4,4104
46902,リビングステージ木町通,4,4101
42926,In-Towner二日町,4,4101
48729,プレステーション愛子A,4,4101
47285,サニーハイツB,4,4102
338,ティエラひかり３号館,4,4209
48929,セジュール遠見塚Ⅰ,4,4103
44240,デュード・ボヌール,4,4101
42310,アーバンハイツ吉岡南Ⅱ,4,4421
47282,メゾン・パルコ,4,4101
43067,エクセレントパーク北山,4,4101
42883,ユーナ・コピア,4,4104
900231,×××コーポ向陽台,4,4105
990071,リエス春日町,4,4101
47639,サンシャルル１番館,4,4104
49109,南仙台アルファビル,4,4104
40765,アニメート　チバ,4,4101
900738,×××ブランドール八幡Ⅱ,4,4101
47054,グランシャリオＭ,4,4105
916003,×××Human広瀬通ビル,4,4101
46934,アソルティ上杉,4,4101
999973,フェリシア小田原,4,4102
900629,×××スプリングビレッジ将監,4,4105
43608,グレイズヒルズ,4,4216
45465,シャーメゾン南小泉,4,4103
10004,■　空き番号　■　　空室から物件,4,4101
51062,恒産桜ケ丘,4,4101
45012,グレース,4,4101
49021,パストラルハイム榴岡公園,4,4102
40102,グランディアエイト,4,4101
900119,×××ピースフル太白６,4,4104
91049,千代田メゾンＡ棟,4,4101
44359,エムフィールド南中山Ｂ,4,4105
47649,シャーメゾン泉沢,4,4203
49110,朝日プラザ上杉,4,4101
48531,セレーノ南仙台,4,4104
796,高橋ハイツＢ棟,4,4105
47389,ボーノンＡＮＺ,4,4103
44120,アムール・ド・メゾンⅡ番館,4,4101
13038,ＰＡＬＬ駐車場,4,4104
990079,アルファ上杉,4,4101
43536,幸町アヴェニュー,4,4102
217,ピースフル旭ケ丘第２,4,4101
293,サニーフラットⅠ,4,4102
41020,グランディール八乙女B棟,4,4105
47107,シャーメゾンＹＯＵ,4,4101
900567,×××サンハイツ,4,4101
999992,サニープレイス小松島,4,4101
92015,フレグランス南仙台,4,4104
45811,ベルドミールⅡ,4,4102
43030,フロラシオン,4,4209
41038,コーポ戸ヶ瀬,4,4216
43402,アルス台原,4,4101
706,コーポセリーヌ,4,4104
44400,エスポワール石森Ｂ,4,4212
40349,Dear Court A,4,4102
44043,スウィング,4,4207
44102,ウィルモアＥ館,4,4101
41703,ポラリス・K,4,4421
912056,×××スカーラヒルズ仙台ガーデンウィング,4,4101
45139,ELM,4,4101
43306,ウィンミルＮｏ．６,4,4105
47642,コージーコートＡ,4,4104
44323,Ｄ－Ｒoom連坊小路,4,4103
47048,ピエス・モモ,4,4105
94108,東仙台新築戸建賃貸Ｂ棟,4,4102
162,サンライズ２１,4,4102
912094,×××ダイアパレスリバーサイド八幡,4,4101
43404,スクエアハウスQ,4,4105
47654,ステューディオⅡ,4,4203
12063,朝日プラザ堤通雨宮町,4,4101
42940,サニープレジデント壱番館,4,4105
133,佐文荘,4,4101
40744,ホープヒルズ２番館,4,4105
752,■　空き番号　■　2世帯　※2020年8月までは空番号,4,4101
44282,リベラ花渕Ｃ,4,4102
48861,（仮）泉区松森新築貸家,4,4105
43917,アタゴドミトリーきふね,4,4105
40112,二日町NSビル,4,4101
900437,×××コーポ尾形,4,4102
47524,シャルマンフォレ,4,4102
46910,ネオハイツ水の森公園,4,4101
45490,ハバードリーム６番館,4,4102
48901,トゥインクルコート文化町１１番館,4,4103
931,セントレアカマⅤ,4,4105
45713,シャングリラ高松,4,4101
81,ベルトピア仙台２,4,4101
912059,×××ディナ・スカーラ台原,4,4101
45432,ユミハウス中倉,4,4103
45481,ホワイトキャッスル１７番館,4,4103
848,■　空き番号　■　6世帯　※2020年6月までは空番号,4,4101
13020,中江１丁目Ａパーキング,4,4101
48721,クレセール南吉成参番館,4,4101
45419,アライ,4,4103
50020,八乙女１４８ビル,4,4105
46872,マーベラストミザワ,4,4104
990350,ル･ヴィラージュ,4,4101
41129,アルス明石台Ｂ,4,4216
432,スペランサⅠ,4,4101
42820,三栄ハイツＢ棟,4,4105
646,メゾン青葉Ｂ,4,4101
45427,Ａ・ＰＡＲＴ１,4,4103
42884,セントマイケルズ,4,4102
44125,パセオステーブル泉中央,4,4105
235,アスコット八木山本町,4,4104
955,ＫＡＭＩＪＩ東照宮,4,4101
911025,×××長命ケ丘４丁目貸家,4,4105
599,パレス川平,4,4101
990311,ティエラ川内Ⅰ,4,4101
93084,アコーズ泉中央,4,4105
48828,栗生5-6貸家,4,4101
52039,メゾンドール八木山弥生町,4,4104
48535,ヒルクレスト,4,4104
990362,RE　SENDAI,4,4101
12062,ダイアパレス北六番丁,4,4101
94012,エスパレス安養寺,4,4102
42750,ルミネール泉,4,4105
94078,レアル多賀城,4,4209
264,ロフティ旭ケ丘,4,4101
12054,朝日プラザ定禅寺北,4,4101
